2015-12-25 11:59:53,743 [Timer-2] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization started
2015-12-25 11:59:53,894 [Timer-2] INFO  o.s.w.c.s.AnnotationConfigWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Fri Dec 25 11:59:53 MSK 2015]; root of context hierarchy
2015-12-25 11:59:54,015 [Timer-2] INFO  o.s.w.c.s.AnnotationConfigWebApplicationContext - Successfully resolved class for [com.checker.core.config.RootApplicationContextConfig]
2015-12-25 11:59:54,542 [Timer-2] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [jar:file:/C:/maven-3.3.3/repository/com/checker/core/checker-core/1.0-SNAPSHOT/checker-core-1.0-SNAPSHOT.jar!/db-context.xml]
2015-12-25 11:59:55,000 [Timer-2] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2015-12-25 11:59:55,783 [Timer-2] INFO  c.c.c.c.RootApplicationContextConfig - ###RootApplicationContextConfig loaded!###
2015-12-25 11:59:56,194 [Timer-2] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
2015-12-25 11:59:56,213 [Timer-2] INFO  org.hibernate.Version - HHH000412: Hibernate Core {4.3.10.Final}
2015-12-25 11:59:56,218 [Timer-2] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2015-12-25 11:59:56,222 [Timer-2] INFO  org.hibernate.cfg.Environment - HHH000021: Bytecode provider name : javassist
2015-12-25 11:59:56,575 [Timer-2] INFO  o.h.e.j.c.i.ConnectionProviderInitiator - HHH000130: Instantiating explicit connection provider: org.hibernate.connection.C3P0ConnectionProvider
2015-12-25 11:59:56,597 [Timer-2] INFO  o.h.c.i.C3P0ConnectionProvider - HHH010002: C3P0 using driver: org.postgresql.Driver at URL: jdbc:postgresql://localhost:5432/checker
2015-12-25 11:59:56,597 [Timer-2] INFO  o.h.c.i.C3P0ConnectionProvider - HHH000046: Connection properties: {user=postgres, password=****}
2015-12-25 11:59:56,597 [Timer-2] INFO  o.h.c.i.C3P0ConnectionProvider - HHH000006: Autocommit mode: false
2015-12-25 11:59:56,630 [Timer-2] INFO  com.mchange.v2.log.MLog - MLog clients using log4j logging.
2015-12-25 11:59:56,745 [Timer-2] INFO  com.mchange.v2.c3p0.C3P0Registry - Initializing c3p0-0.9.2.1 [built 20-March-2013 10:47:27 +0000; debug? true; trace: 10]
2015-12-25 11:59:56,895 [Timer-2] INFO  c.m.v.c.i.AbstractPoolBackedDataSource - Initializing c3p0 pool... com.mchange.v2.c3p0.PoolBackedDataSource@fd5dea1 [ connectionPoolDataSource -> com.mchange.v2.c3p0.WrapperConnectionPoolDataSource@4cdba267 [ acquireIncrement -> 1, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, debugUnreturnedConnectionStackTraces -> false, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, identityToken -> 1hge8vy9d1nz2pzj1c6ove0|65a92223, idleConnectionTestPeriod -> 200, initialPoolSize -> 5, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 300, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 10, maxStatements -> 50, maxStatementsPerConnection -> 0, minPoolSize -> 5, nestedDataSource -> com.mchange.v2.c3p0.DriverManagerDataSource@e30d8b27 [ description -> null, driverClass -> null, factoryClassLocation -> null, identityToken -> 1hge8vy9d1nz2pzj1c6ove0|3e61f199, jdbcUrl -> jdbc:postgresql://localhost:5432/checker, properties -> {user=******, password=******} ], preferredTestQuery -> null, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 300, usesTraditionalReflectiveProxies -> false; userOverrides: {} ], dataSourceName -> null, factoryClassLocation -> null, identityToken -> 1hge8vy9d1nz2pzj1c6ove0|66f0af3b, numHelperThreads -> 3 ]
2015-12-25 11:59:57,539 [Timer-2] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2015-12-25 11:59:57,608 [Timer-2] INFO  o.h.e.j.internal.LobCreatorBuilder - HHH000424: Disabling contextual LOB creation as createClob() method threw error : java.lang.reflect.InvocationTargetException
2015-12-25 11:59:57,911 [Timer-2] INFO  o.h.e.t.i.TransactionFactoryInitiator - HHH000399: Using default transaction strategy (direct JDBC transactions)
2015-12-25 11:59:57,920 [Timer-2] INFO  o.h.h.i.a.ASTQueryTranslatorFactory - HHH000397: Using ASTQueryTranslatorFactory
